_id	budget	country	genres	imdb_score	metascore	opening_usa	production_companies	release_date	title	usa_gross	worldwide_gross
5af5ed309a5d8daabb72ba62	76000000	USA	['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']	7.4	62.0	83517315.0	['Universal Pictures', 'Illumination Entertainment']	2013-07-03	Despicable Me 2	368061265	970761885.0
5af5ed309a5d8daabb72ba63	61000000	USA	['Action', 'Comedy', 'Crime', 'Thriller']	6.7	55.0	27059130.0	['Universal Pictures', 'Emmett/Furla/Oasis Films (EFO Films)', 'Marc Platt Productions', 'Oasis Ventures Entertainment', 'Envision Entertainment', 'Herrick Entertainment', 'Boom Entertainment', 'Hollywood Studios', 'Knightsbridge Entertainment']	2013-08-02	2 Guns	75612460	131940411.0
5af5ed309a5d8daabb72ba64	7000000	Spain	['Drama', 'Mystery', 'Sci-Fi', 'Thriller']	6.5	42.0		['Safran Company, The', 'Antena 3 Films', 'Ombra Films', 'Roxbury', 'StudioCanal']	2014-01-24	Anna	4288	
5af5ed309a5d8daabb72ba65	58000000	USA	['Comedy']	6.3	42.0	17325307.0	['Twentieth Century Fox', 'Regency Enterprises', 'Wild West Picture Show Productions', '21 Laps Entertainment', 'TSG Entertainment']	2013-06-07	The Internship	44672764	93492844.0
5af5ed309a5d8daabb72ba66	103000000	USA	['Comedy', 'Crime']	5.9	30.0	41671198.0	['Green Hat Films', 'Legendary Entertainment']	2013-05-23	The Hangover Part III	112200072	362000072.0
5af5ed309a5d8daabb72ba67	30000000	USA	['Crime', 'Drama', 'Mystery', 'Thriller']	7.1	75.0	9303145.0	['Endgame Entertainment', 'FilmNation Entertainment', 'Di Bonaventura Pictures']	2013-02-08	Side Effects	32172757	63372757.0
5af5ed309a5d8daabb72ba68	130000000	USA	['Action', 'Adventure', 'Sci-Fi']	4.9	33.0	27520040.0	['Columbia Pictures', 'Overbrook Entertainment', 'Blinding Edge Pictures']	2013-05-31	After Earth	60522097	243843127.0
5af5ed309a5d8daabb72ba69	16000000	Australia	['Drama', 'Romance']	6.2	37.0	19646.0	['Gaumont', 'Screen Australia', 'Ciné@', 'Hopscotch Features', 'Mon Voisin Productions', 'France 2 Cinéma', 'Screen NSW', 'France Télévisions', 'Canal+', 'Ciné+']	2013-04-03	Adore	317125	
5af5ed309a5d8daabb72ba6a	28000000	USA	['Drama', 'Romance', 'Thriller']	6.7	34.0	21401594.0	['Relativity Media', 'Temple Hill Entertainment', 'Nicholas Sparks Productions']	2013-02-14	Safe Haven	71349120	97594140.0
5af5ed309a5d8daabb72ba6b	25000000	USA	['Drama']	7.2	58.0	179302.0	['The Weinstein Company', 'Jean Doumanian Productions', 'Smokehouse Pictures', 'Battle Mountain Films', 'Yucaipa Films']	2014-01-10	August: Osage County	37738503	73745738.0
5af5ed309a5d8daabb72ba6c	50000	USA	['Mystery', 'Sci-Fi', 'Thriller']	7.2	65.0	17000.0	['Bellanova Films', 'Ugly Duckling Films']	2014-08-06	Coherence	68877	
5af5ed309a5d8daabb72ba6d	26000000	USA	['Comedy', 'Drama']	6.4	44.0	8215000.0	['Touchstone Pictures', 'DreamWorks', 'Reliance Entertainment']	2013-11-22	Delivery Man	30664106	70541159.0
